word,occurences,classNum,C_N,Unc_N,Sing_N,Plu_N,GrC_N,GrUnc_N,Attr_N,PostPos_N,Voc_N,Proper_N,Exp_N
Acts,0,1,N,N,N,N,N,N,N,N,N,Y,N
actuality,39,1,Y,Y,N,N,N,N,N,N,N,N,N
actuary,2,1,Y,N,N,N,N,N,N,N,N,N,N
acuity,6,1,N,Y,N,N,N,N,N,N,N,N,N
acumen,16,1,N,Y,N,N,N,N,N,N,N,N,N
acupuncture,12,1,N,Y,N,N,N,N,N,N,N,N,N
acuteness,3,1,N,Y,N,N,N,N,N,N,N,N,N
ad,170,1,Y,N,N,N,N,N,N,N,N,N,N
adage,15,1,Y,N,N,N,N,N,N,N,N,N,N
adagio,5,1,Y,N,N,N,N,N,N,N,N,N,N
Adam,711,1,N,N,N,N,N,N,N,N,N,Y,N
adamancy,1,1,N,Y,N,N,N,N,N,N,N,N,N
adamant,1,1,N,Y,N,N,N,N,N,N,N,N,N
Adam's apple,0,1,Y,N,N,N,N,N,N,N,N,N,N
adaptability,24,1,N,Y,N,N,N,N,N,N,N,N,N
adaptation,171,1,Y,Y,N,N,N,N,N,N,N,N,N
adapter,3,1,Y,N,N,N,N,N,N,N,N,N,N
addendum,8,1,Y,N,N,N,N,N,N,N,N,N,N
adder,9,1,Y,N,N,N,N,N,N,N,N,N,N
addict,64,1,Y,N,N,N,N,N,N,N,N,N,N
addiction,55,1,Y,Y,N,N,N,N,N,N,N,N,N
adding-machine,0,1,Y,N,N,N,N,N,N,N,N,N,N
addition,1168,1,Y,Y,N,N,N,N,N,N,N,N,N
additive,95,1,Y,N,N,N,N,N,N,N,N,N,N
addle-head,0,1,Y,N,N,N,N,N,N,N,N,N,N
address,876,1,Y,Y,N,N,N,N,N,N,N,N,N
addressee,6,1,Y,N,N,N,N,N,N,N,N,N,N
Addressograph,0,1,Y,N,N,N,N,N,N,N,N,N,N
Addressograph,0,1,N,N,N,N,N,N,N,N,N,Y,N
adenoids,23,1,N,Y,N,Y,N,N,N,N,N,N,N
adept,11,1,Y,N,N,N,N,N,N,N,N,N,N
adequacy,23,1,N,Y,N,N,N,N,N,N,N,N,N
adherence,44,1,N,Y,N,N,N,N,N,N,N,N,N
adherent,48,1,Y,N,N,N,N,N,N,N,N,N,N
adhesion,5,1,Y,Y,N,N,N,N,N,N,N,N,N
adhesive,29,1,Y,Y,N,N,N,N,N,N,N,N,N
adieu,2,1,Y,N,N,N,N,N,N,N,N,N,N
adjective,67,1,Y,N,N,N,N,N,N,N,N,N,N
adjournment,10,1,Y,Y,N,N,N,N,N,N,N,N,N
adjudication,4,1,N,Y,N,N,N,N,N,N,N,N,N
adjudicator,5,1,Y,N,N,N,N,N,N,N,N,N,N
adjunct,33,1,Y,N,N,N,N,N,N,N,N,N,N
adjuration,1,1,Y,Y,N,N,N,N,N,N,N,N,N
adjuster,6,1,Y,N,N,N,N,N,N,N,N,N,N
adjustment,234,1,Y,Y,N,N,N,N,N,N,N,N,N
adjutant,26,1,Y,N,N,N,N,N,N,N,N,N,N
adman,3,1,Y,N,N,N,N,N,N,N,N,N,N
admass,0,1,N,Y,N,N,N,N,N,N,N,N,N
administration,841,1,Y,Y,N,N,N,N,N,N,N,N,N
administrator,209,1,Y,N,N,N,N,N,N,N,N,N,N
admiral,104,1,Y,N,N,N,N,N,Y,N,Y,N,N
admiralty,40,1,Y,N,Y,N,N,Y,N,N,N,N,N
admiration,294,1,N,Y,Y,N,N,N,N,N,N,N,N
admirer,152,1,Y,N,N,N,N,N,N,N,N,N,N
admissibility,0,1,N,Y,N,N,N,N,N,N,N,N,N
admission,348,1,Y,Y,N,N,N,N,N,N,N,N,N
admittance,13,1,N,Y,N,N,N,N,N,N,N,N,N
admixture,9,1,Y,N,N,N,N,N,N,N,N,N,N
admonition,29,1,Y,Y,N,N,N,N,N,N,N,N,N
ado,39,1,N,Y,N,N,N,N,N,N,N,N,N
adobe,14,1,N,Y,N,N,N,N,N,N,N,N,N
adolescence,185,1,N,Y,Y,N,N,N,N,N,N,N,N
adolescent,185,1,Y,N,N,N,N,N,N,N,N,N,N
adoption,177,1,Y,Y,N,N,N,N,N,N,N,N,N
adoration,49,1,N,Y,N,N,N,N,N,N,N,N,N
adorer,1,1,Y,N,N,N,N,N,N,N,N,N,N
