word,occurences,classNum,C_N,Unc_N,Sing_N,Plu_N,GrC_N,GrUnc_N,Attr_N,PostPos_N,Voc_N,Proper_N,Exp_N
modulation,11,1,Y,Y,N,N,N,N,N,N,N,N,N
module,114,1,Y,N,N,N,N,N,N,N,N,N,N
modus operandi,0,1,Y,N,Y,N,N,N,N,N,N,N,N
modus vivendi,0,1,Y,N,Y,N,N,N,N,N,N,N,N
moggy,3,1,Y,N,N,N,N,N,N,N,N,N,N
mogul,41,1,Y,N,N,N,N,N,N,N,N,N,N
mohair,3,1,N,Y,N,N,N,N,N,N,N,N,N
Mohammed,78,1,N,N,N,N,N,N,N,N,N,Y,N
Mohammedan,8,1,Y,N,N,N,N,N,N,N,N,N,N
Mohammedanism,1,1,N,Y,N,N,N,N,N,N,N,N,N
moiety,0,1,Y,N,N,N,N,N,N,N,N,N,N
moire,1,1,N,Y,N,N,N,N,N,N,N,N,N
moistness,0,1,N,Y,N,N,N,N,N,N,N,N,N
moisture,125,1,N,Y,N,N,N,N,N,N,N,N,N
moke,0,1,Y,N,N,N,N,N,N,N,N,N,N
molar,33,1,Y,N,N,N,N,N,N,N,N,N,N
molasses,27,1,N,Y,N,N,N,N,N,N,N,N,N
mole,99,1,Y,N,N,N,N,N,N,N,N,N,N
molecule,295,1,Y,N,N,N,N,N,N,N,N,N,N
molehill,16,1,Y,N,N,N,N,N,N,N,N,N,N
moleskin,2,1,N,Y,N,N,N,N,N,N,N,N,N
molestation,7,1,N,Y,N,N,N,N,N,N,N,N,N
moll,7,1,Y,N,N,N,N,N,N,N,N,N,N
mollification,0,1,N,Y,N,N,N,N,N,N,N,N,N
mollusc,30,1,Y,N,N,N,N,N,N,N,N,N,N
Molly,92,1,N,N,N,N,N,N,N,N,N,Y,N
mollycoddle,2,1,Y,N,N,N,N,N,N,N,Y,N,N
Molotov,15,1,N,N,N,N,N,N,N,N,N,Y,N
Molotov cocktail,0,1,Y,N,N,N,N,N,N,N,N,N,N
molybdenum,3,1,N,Y,N,N,N,N,N,N,N,N,N
mom,100,1,Y,N,N,N,N,N,N,N,Y,N,N
moment,5965,1,Y,Y,N,N,N,N,N,N,N,N,N
moment of truth,0,1,Y,N,Y,N,N,N,N,N,N,N,N
momentousness,1,1,N,Y,N,N,N,N,N,N,N,N,N
moments,859,1,N,N,N,Y,N,N,N,N,N,N,N
momentum,179,1,Y,Y,N,N,N,N,N,N,N,N,N
momma,28,1,Y,N,N,N,N,N,N,N,Y,N,N
monarch,115,1,Y,N,N,N,N,N,N,N,N,N,N
monarchism,0,1,N,Y,N,N,N,N,N,N,N,N,N
monarchist,15,1,Y,N,N,N,N,N,Y,N,N,N,N
monarchy,76,1,Y,Y,N,N,N,N,N,N,N,N,N
monastery,114,1,Y,N,N,N,N,N,N,N,N,N,N
monasticism,2,1,N,Y,N,N,N,N,N,N,N,N,N
Monday,708,1,Y,Y,Y,N,N,N,N,N,N,N,N
Monegasque,0,1,Y,N,N,N,N,N,N,N,N,N,N
money,7226,1,N,Y,N,N,N,N,N,N,N,N,N
moneybags,2,1,Y,N,N,N,N,N,N,N,Y,N,N
moneybox,4,1,Y,N,N,N,N,N,N,N,N,N,N
moneychanger,6,1,Y,N,N,N,N,N,N,N,N,N,N
money-grubber,0,1,Y,N,N,N,N,N,N,N,N,N,N
moneylender,27,1,Y,N,N,N,N,N,N,N,N,N,N
moneymaker,3,1,Y,N,N,N,N,N,N,N,N,N,N
moneymaking,1,1,N,Y,N,N,N,N,Y,N,N,N,N
money-order,0,1,Y,N,N,N,N,N,N,N,N,N,N
moneys,22,1,N,N,N,Y,N,N,N,N,N,N,N
money-spinner,3,1,Y,N,N,N,N,N,N,N,N,N,N
monger,1,1,Y,N,N,N,N,N,N,N,N,N,N
mongol,0,1,Y,N,N,N,N,N,N,N,N,N,N
Mongol,30,1,Y,N,N,N,N,N,N,N,N,N,N
Mongolia,15,1,N,N,N,N,N,N,N,N,N,Y,N
Mongolian,1,1,Y,Y,N,N,N,N,N,N,N,N,N
mongolism,1,1,N,Y,N,N,N,N,N,N,N,N,N
mongoose,16,1,Y,N,N,N,N,N,N,N,N,N,N
mongrel,15,1,Y,N,N,N,N,N,N,N,N,N,N
monition,0,1,Y,N,N,N,N,N,N,N,N,N,N
monitor,42,1,Y,N,N,N,N,N,N,N,N,N,N
monk,164,1,Y,N,N,N,N,N,N,N,N,N,N
monkey,324,1,Y,N,N,N,N,N,N,N,N,N,N
monkey business,0,1,N,Y,N,N,N,N,N,N,N,N,N
monkey-jacket,0,1,Y,N,N,N,N,N,N,N,N,N,N
monkey-nut,0,1,Y,N,N,N,N,N,N,N,N,N,N
monkey-puzzle,0,1,Y,N,N,N,N,N,N,N,N,N,N
monkey-puzzle tree,0,1,Y,N,N,N,N,N,N,N,N,N,N
monkey tricks,0,1,N,N,N,Y,N,N,N,N,N,N,N
monkey-wrench,0,1,Y,N,N,N,N,N,N,N,N,N,N
mono,1,1,Y,Y,N,N,N,N,N,N,N,N,N
monochrome,15,1,Y,Y,N,N,N,N,N,N,N,N,N
monocle,4,1,Y,N,N,N,N,N,N,N,N,N,N
monogamist,1,1,Y,N,N,N,N,N,N,N,N,N,N
monogamy,25,1,N,Y,N,N,N,N,N,N,N,N,N
monogram,13,1,Y,N,N,N,N,N,N,N,N,N,N
monograph,21,1,Y,N,N,N,N,N,N,N,N,N,N
monolith,30,1,Y,N,N,N,N,N,N,N,N,N,N
monologue,83,1,Y,N,N,N,N,N,N,N,N,N,N
monomania,1,1,Y,Y,N,N,N,N,N,N,N,N,N
monomaniac,2,1,Y,N,N,N,N,N,N,N,N,N,N
mononucleosis,1,1,N,Y,N,N,N,N,N,N,N,N,N
monophthong,0,1,Y,N,N,N,N,N,N,N,N,N,N
monoplane,2,1,Y,N,N,N,N,N,N,N,N,N,N
monopolist,9,1,Y,N,N,N,N,N,N,N,N,N,N
monopolization,2,1,Y,Y,N,N,N,N,N,N,N,N,N
monopoly,333,1,Y,Y,Y,N,N,N,N,N,N,N,N
monorail,8,1,Y,Y,N,N,N,N,N,N,N,N,N
monosyllable,20,1,Y,N,N,N,N,N,N,N,N,N,N
monotheism,9,1,N,Y,N,N,N,N,N,N,N,N,N
monotheist,1,1,Y,N,N,N,N,N,N,N,N,N,N
monotone,21,1,N,N,Y,N,N,N,N,N,N,N,N
monotonousness,0,1,N,Y,N,N,N,N,N,N,N,N,N
monotony,57,1,N,Y,N,N,N,N,N,N,N,N,N
monotype,1,1,Y,Y,N,N,N,N,N,N,N,N,N
monoxide,24,1,Y,Y,N,N,N,N,N,N,N,N,N
Monsieur,207,1,N,N,N,N,N,N,N,N,N,Y,N
monsignor,14,1,Y,N,N,N,N,N,Y,N,Y,N,N
monsoon,52,1,Y,N,Y,N,N,N,N,N,N,N,N
monster,377,1,Y,N,N,N,N,N,Y,N,Y,N,N
monstrance,1,1,Y,N,N,N,N,N,N,N,N,N,N
monstrosity,31,1,Y,Y,N,N,N,N,N,N,N,N,N
mons veneris,0,1,Y,N,N,N,N,N,N,N,N,N,N
montage,11,1,Y,Y,N,N,N,N,N,N,N,N,N
month,5663,1,Y,N,N,N,N,N,N,N,N,N,N
monthly,11,1,Y,N,N,N,N,N,N,N,N,N,N
monthly period,0,1,Y,N,N,N,N,N,N,N,N,N,N
Montserrat,1,1,N,N,N,N,N,N,N,N,N,Y,N
Montserratian,0,1,Y,N,N,N,N,N,N,N,N,N,N
monument,303,1,Y,N,N,N,N,N,N,N,N,N,N
moo,1,1,Y,N,N,N,N,N,N,N,N,N,N
moocow,0,1,Y,N,N,N,N,N,N,N,Y,N,N
mood,932,1,Y,N,Y,N,N,N,N,N,N,N,N
moodiness,10,1,N,Y,N,N,N,N,N,N,N,N,N
moon,1058,1,Y,N,Y,N,N,N,N,N,N,N,N
moonbeam,0,1,Y,N,N,N,N,N,N,N,N,N,N
mooncalf,0,1,Y,N,N,N,N,N,N,N,N,N,N
moonflower,0,1,Y,N,N,N,N,N,N,N,N,N,N
moonlight,167,1,N,Y,N,N,N,N,N,N,N,N,N
moonlighter,0,1,Y,N,N,N,N,N,N,N,N,N,N
moonshine,17,1,N,Y,N,N,N,N,N,N,N,N,N
moonstone,0,1,Y,N,N,N,N,N,N,N,N,N,N
Moor,6,1,N,N,N,N,N,N,N,N,N,Y,N
moor,101,1,Y,Y,N,N,N,N,N,N,N,N,N
Moor,26,1,Y,N,N,Y,N,N,N,N,N,N,N
moorcock,0,1,Y,N,N,N,N,N,N,N,N,N,N
moorfowl,0,1,Y,N,N,N,N,N,N,N,N,N,N
moorgame,0,1,Y,N,N,N,N,N,N,N,N,N,N
moorhen,7,1,Y,N,N,N,N,N,N,N,N,N,N
mooring-mast,0,1,Y,N,N,N,N,N,N,N,N,N,N
moorings,12,1,N,N,N,Y,N,N,N,N,N,N,N
Moorish arch,0,1,Y,N,N,N,N,N,N,N,N,N,N
moorland,63,1,Y,Y,N,N,N,N,N,N,N,N,N
moose,14,1,Y,N,N,N,N,N,N,N,N,N,N
moot point,0,1,Y,N,Y,N,N,N,N,N,N,N,N
moot question,0,1,Y,N,Y,N,N,N,N,N,N,N,N
mop,49,1,Y,N,N,N,N,N,N,N,N,N,N
mope,0,1,N,N,Y,N,N,N,N,N,N,N,N
moped,34,1,Y,N,N,N,N,N,N,N,N,N,N
moppet,3,1,Y,N,N,N,N,N,N,N,N,N,N
mop-up,1,1,Y,N,N,N,N,N,N,N,N,N,N
moquette,3,1,N,Y,N,N,N,N,N,N,N,N,N
moraine,8,1,Y,N,N,N,N,N,N,N,N,N,N
moral,143,1,Y,N,N,N,N,N,N,N,N,N,N
moral certainty,0,1,Y,N,N,N,N,N,N,N,N,N,N
morale,181,1,N,Y,N,N,N,N,N,N,N,N,N
moralist,36,1,Y,N,N,N,N,N,N,N,N,N,N
morality,289,1,Y,Y,N,N,N,N,N,N,N,N,N
morality play,0,1,Y,N,N,N,N,N,N,N,N,N,N
moralizer,0,1,Y,N,N,N,N,N,N,N,N,N,N
Moral Re-Armament,0,1,N,N,N,N,N,N,N,N,N,Y,N
morals,135,1,N,N,N,Y,N,N,N,N,N,N,N
morass,19,1,Y,N,Y,N,N,N,N,N,N,N,N
moratorium,15,1,Y,N,N,N,N,N,N,N,N,N,N
morbidity,2,1,Y,Y,Y,N,N,N,N,N,N,N,N
morbidness,0,1,N,Y,N,N,N,N,N,N,N,N,N
morello,0,1,Y,N,N,N,N,N,N,N,N,N,N
morello cherry,0,1,Y,N,N,N,N,N,N,N,N,N,N
mores,32,1,N,N,N,Y,N,N,N,N,N,N,N
morgue,18,1,Y,N,N,N,N,N,N,N,N,N,N
Mormon,14,1,Y,N,N,N,N,N,N,N,N,N,N
Mormon,0,1,N,N,N,N,N,N,N,N,N,Y,N
Mormonism,0,1,N,Y,N,N,N,N,N,N,N,N,N
morn,7,1,Y,N,N,N,N,N,N,N,N,N,N
morning,5598,1,Y,Y,Y,N,N,N,Y,N,N,N,N
morning coat,0,1,Y,N,N,N,N,N,N,N,N,N,N
morning dress,0,1,N,Y,N,N,N,N,N,N,N,N,N
morning-glory,1,1,Y,Y,N,N,N,N,N,N,N,N,N
Morning Prayer,0,1,N,N,N,N,N,N,N,N,N,Y,N
morning-room,0,1,Y,N,N,N,N,N,N,N,N,N,N
morning sickness,0,1,N,Y,N,N,N,N,N,N,N,N,N
morning star,0,1,N,N,Y,N,N,N,N,N,N,N,N
Moroccan,11,1,Y,N,N,N,N,N,N,N,N,N,N
morocco,3,1,N,Y,N,N,N,N,N,N,N,N,N
Morocco,49,1,N,N,N,N,N,N,N,N,N,Y,N
moron,27,1,Y,N,N,N,N,N,N,N,Y,N,N
moroseness,3,1,N,Y,N,N,N,N,N,N,N,N,N
morpheme,0,1,Y,N,N,N,N,N,N,N,N,N,N
morphemics,0,1,N,Y,N,N,N,N,N,N,N,N,N
Morpheus,1,1,N,N,N,N,N,N,N,N,N,Y,N
morphia,1,1,N,Y,N,N,N,N,N,N,N,N,N
morphine,27,1,N,Y,N,N,N,N,N,N,N,N,N
morphology,8,1,N,Y,N,N,N,N,N,N,N,N,N
morris dance,0,1,Y,N,N,N,N,N,N,N,N,N,N
Morrison,33,1,N,N,N,N,N,N,N,N,N,Y,N
morrow,30,1,N,N,Y,N,N,N,N,N,N,N,N
Morse,11,1,N,Y,N,N,N,N,N,N,N,N,N
Morse,2,1,N,N,N,N,N,N,N,N,N,Y,N
Morse code,0,1,N,Y,N,N,N,N,N,N,N,N,N
morsel,37,1,Y,N,N,N,N,N,N,N,N,N,N
mortal,53,1,Y,N,N,N,N,N,N,N,N,N,N
mortality,105,1,N,Y,Y,N,N,N,N,N,N,N,N
mortality table,0,1,Y,N,N,N,N,N,N,N,N,N,N
mortal sin,0,1,Y,Y,N,N,N,N,N,N,N,N,N
mortar,114,1,Y,Y,N,N,N,N,N,N,N,N,N
mortarboard,2,1,Y,N,N,N,N,N,N,N,N,N,N
mortgage,396,1,Y,N,N,N,N,N,N,N,N,N,N
mortgagee,2,1,Y,N,N,N,N,N,N,N,N,N,N
mortgagor,10,1,Y,N,N,N,N,N,N,N,N,N,N
mortician,7,1,Y,N,N,N,N,N,N,N,N,N,N
mortification,9,1,N,Y,N,N,N,N,N,N,N,N,N
mortise,4,1,Y,N,N,N,N,N,N,N,N,N,N
mortise lock,0,1,Y,N,N,N,N,N,N,N,N,N,N
mortuary,31,1,Y,N,N,N,N,N,Y,N,N,N,N
mosaic,86,1,Y,Y,N,N,N,N,Y,N,N,N,N
moselle,9,1,Y,Y,N,N,N,N,N,N,N,N,N
Moses,809,1,N,N,N,N,N,N,N,N,N,Y,N
Moslem,45,1,Y,N,N,N,N,N,N,N,N,N,N
mosque,57,1,Y,N,N,N,N,N,N,N,N,N,N
mosquito,96,1,Y,N,N,N,N,N,N,N,N,N,N
mosquito-craft,0,1,Y,N,N,N,N,N,N,N,N,N,N
mosquito-net,1,1,Y,N,N,N,N,N,N,N,N,N,N
moss,138,1,Y,Y,N,N,N,N,N,N,N,N,N
most,852,1,N,N,Y,N,N,N,N,N,N,N,Y
mote,27,1,Y,N,N,N,N,N,N,N,N,N,N
motel,150,1,Y,N,N,N,N,N,N,N,N,N,N
motet,9,1,Y,N,N,N,N,N,N,N,N,N,N
moth,96,1,Y,N,Y,N,N,N,N,N,N,N,N
mothball,7,1,Y,N,N,N,N,N,N,N,N,N,N
mother,8506,1,Y,N,Y,N,N,N,N,N,Y,N,N
Mother,306,1,N,N,N,N,N,N,N,N,N,Y,N
mother carey's chicken,0,1,Y,N,N,Y,N,N,N,N,N,N,N
mother country,0,1,Y,N,Y,N,N,N,N,N,N,N,N
Mother Goose rhyme,0,1,Y,N,N,N,N,N,N,N,N,N,N
motherhood,137,1,N,Y,N,N,N,N,N,N,N,N,N
mother-in-law,68,1,Y,N,N,N,N,N,N,N,N,N,N
motherliness,1,1,N,Y,N,N,N,N,N,N,N,N,N
Mother Nature,0,1,N,N,N,N,N,N,N,N,N,Y,N
mother ship,0,1,Y,N,N,N,N,N,N,N,N,N,N
mother superior,0,1,Y,N,N,N,N,N,N,N,Y,N,N
mother-to-be,7,1,Y,N,N,N,N,N,N,N,N,N,N
mother tongue,0,1,Y,N,N,N,N,N,N,N,N,N,N
mother wit,0,1,N,Y,N,N,N,N,N,N,N,N,N
motif,40,1,Y,N,N,N,N,N,N,N,N,N,N
motion,712,1,Y,Y,N,N,N,N,N,N,N,N,N
motionlessness,1,1,N,Y,N,N,N,N,N,N,N,N,N
motion picture,0,1,Y,N,N,N,N,N,N,N,N,N,N
motions,44,1,N,N,N,N,N,N,N,N,N,N,Y
motivation,206,1,Y,Y,N,N,N,N,N,N,N,N,N
motive,561,1,Y,N,N,N,N,N,N,N,N,N,N
mot juste,0,1,Y,N,N,N,N,N,N,N,N,N,N
motley,4,1,N,Y,N,N,N,N,N,N,N,N,N
motocross,0,1,N,Y,N,N,N,N,N,N,N,N,N
motor,257,1,Y,Y,N,N,N,N,N,N,N,N,N
motorbike,50,1,Y,Y,N,N,N,N,N,N,N,N,N
motorboat,7,1,Y,Y,N,N,N,N,N,N,N,N,N
motorcade,11,1,Y,N,N,N,N,N,N,N,N,N,N
motorcar,79,1,Y,Y,N,N,N,N,N,N,N,N,N
motor-coach,0,1,Y,N,N,N,N,N,N,N,N,N,N
motorcycle,254,1,Y,Y,N,N,N,N,N,N,N,N,N
motorcyclist,25,1,Y,N,N,N,N,N,N,N,N,N,N
motoring,47,1,N,Y,N,N,N,N,N,N,N,N,N
motorist,114,1,Y,N,N,N,N,N,N,N,N,N,N
motorman,2,1,Y,N,N,N,N,N,N,N,N,N,N
motor scooter,0,1,Y,N,N,N,N,N,N,N,N,N,N
motorway,186,1,Y,N,N,N,N,N,N,N,N,N,N
motto,92,1,Y,N,N,N,N,N,N,N,N,N,N
moujik,0,1,Y,N,N,N,N,N,N,N,N,N,N
mould,204,1,Y,Y,N,N,N,N,N,N,N,N,N
mouldiness,0,1,N,Y,N,N,N,N,N,N,N,N,N
moulding,30,1,Y,Y,N,N,N,N,N,N,N,N,N
moult,9,1,Y,N,N,N,N,N,N,N,N,N,N
mound,168,1,Y,N,N,N,N,N,N,N,N,N,N
mount,278,1,Y,N,N,N,N,N,Y,N,N,N,N
mountain,1502,1,Y,N,N,N,N,N,N,N,N,N,N
mountain ash,0,1,Y,N,N,N,N,N,N,N,N,N,N
mountain chain,0,1,Y,N,N,N,N,N,N,N,N,N,N
mountaineer,29,1,Y,N,N,N,N,N,N,N,N,N,N
mountaineering,31,1,N,Y,N,N,N,N,N,N,N,N,N
mountain lion,0,1,Y,N,N,N,N,N,N,N,N,N,N
mountain range,0,1,Y,N,N,N,N,N,N,N,N,N,N
mountainside,34,1,Y,N,N,N,N,N,N,N,N,N,N
mountaintop,11,1,Y,N,N,N,N,N,N,N,N,N,N
mountebank,7,1,Y,N,N,N,N,N,N,N,N,N,N
Mountie,4,1,Y,N,N,N,N,N,N,N,N,N,N
mourner,41,1,Y,N,N,N,N,N,N,N,N,N,N
mournfulness,2,1,N,Y,N,N,N,N,N,N,N,N,N
mourning,91,1,N,Y,N,N,N,N,N,N,N,N,N
mourning-band,0,1,Y,N,N,N,N,N,N,N,N,N,N
mourning-ring,0,1,Y,N,N,N,N,N,N,N,N,N,N
mouse,330,1,Y,N,N,N,N,N,N,N,N,N,N
mouser,0,1,Y,N,N,N,N,N,N,N,N,N,N
mousetrap,12,1,Y,Y,N,N,N,N,N,N,N,N,N
mousiness,1,1,N,Y,N,N,N,N,N,N,N,N,N
moussaka,3,1,N,Y,N,N,N,N,N,N,N,N,N
mousse,25,1,Y,Y,N,N,N,N,N,N,N,N,N
moustache,329,1,Y,N,N,N,N,N,N,N,N,N,N
mouth,2644,1,Y,Y,N,N,N,N,N,N,N,N,N
mouthful,111,1,Y,N,Y,N,N,N,N,N,N,N,N
mouthorgan,1,1,Y,N,N,N,N,N,N,N,N,N,N
mouthpiece,61,1,Y,N,N,N,N,N,N,N,N,N,N
mouthwash,5,1,Y,Y,N,N,N,N,N,N,N,N,N
movable,0,1,N,N,N,Y,N,N,N,N,N,N,N
movable feast,0,1,Y,N,N,N,N,N,N,N,N,N,N
move,1159,1,Y,N,Y,N,N,N,N,N,N,N,N
movement,4483,1,Y,Y,N,N,Y,N,N,N,N,N,N
mover,49,1,Y,N,N,N,N,N,N,N,N,N,N
movie,793,1,Y,N,N,N,N,N,N,N,N,N,N
movies,81,1,N,N,N,Y,N,N,N,N,N,N,N
movie star,0,1,Y,N,N,N,N,N,N,N,N,N,N
moving picture,0,1,Y,N,N,N,N,N,N,N,N,N,N
moving staircase,0,1,Y,N,N,N,N,N,N,N,N,N,N
moving van,0,1,Y,N,N,N,N,N,N,N,N,N,N
mower,52,1,Y,N,N,N,N,N,N,N,N,N,N
Mozambique,52,1,N,N,N,N,N,N,N,N,N,Y,N
Mozambiquean,0,1,Y,N,N,N,N,N,N,N,N,N,N
Mrs,6557,1,N,N,N,N,N,N,N,N,N,Y,N
mu,58,1,Y,N,Y,N,N,N,N,N,N,N,N
muchness,6,1,N,N,N,N,N,N,N,N,N,N,Y
mucilage,1,1,N,Y,N,N,N,N,N,N,N,N,N
muck,93,1,N,Y,N,N,N,N,N,N,N,N,N
muckheap,1,1,Y,N,N,N,N,N,N,N,N,N,N
muckle,0,1,N,N,N,N,N,N,N,N,N,N,Y
muckraker,3,1,Y,N,N,N,N,N,N,N,N,N,N
muckraking,5,1,N,Y,N,N,N,N,N,N,N,N,N
mucous membrane,0,1,N,Y,N,N,N,N,N,N,N,N,N
mucus,49,1,N,Y,N,N,N,N,N,N,N,N,N
mud,523,1,N,Y,N,N,N,N,N,N,N,N,N
mud-bath,1,1,Y,N,N,N,N,N,N,N,N,N,N
muddiness,1,1,N,Y,N,N,N,N,N,N,N,N,N
muddle,87,1,Y,N,Y,N,N,N,N,N,N,N,N
muddle-headedness,0,1,N,Y,N,N,N,N,N,N,N,N,N
mudflat,10,1,Y,N,N,N,N,N,N,N,N,N,N
mudguard,5,1,Y,N,N,N,N,N,N,N,N,N,N
mudpack,0,1,Y,N,N,N,N,N,N,N,N,N,N
mudslinger,0,1,Y,N,N,N,N,N,N,N,N,N,N
mudslinging,0,1,N,Y,N,N,N,N,N,N,N,N,N
muesli,5,1,N,Y,N,N,N,N,N,N,N,N,N
muezzin,7,1,Y,N,N,N,N,N,N,N,N,N,N
muff,15,1,Y,N,N,N,N,N,N,N,N,N,N
muffin,15,1,Y,N,N,N,N,N,N,N,N,N,N
muffin-man,1,1,Y,N,N,N,N,N,N,N,N,N,N
muffler,15,1,Y,N,N,N,N,N,N,N,N,N,N
mufti,4,1,N,N,N,N,N,N,N,N,N,N,Y
mufti,37,1,Y,N,N,N,N,N,N,N,N,N,Y
mug,151,1,Y,N,N,N,N,N,N,N,Y,N,N
mugger,24,1,Y,N,N,N,N,N,N,N,N,N,N
mugginess,0,1,N,Y,N,N,N,N,N,N,N,N,N
mugging,39,1,Y,Y,N,N,N,N,N,N,N,N,N
muggins,4,1,Y,N,N,N,N,N,N,N,Y,N,N
mug's game,0,1,N,N,Y,N,N,N,N,N,N,N,N
mugwump,0,1,Y,N,N,N,N,N,N,N,N,N,N
mulatto,8,1,Y,N,N,N,N,N,N,N,N,N,N
mulberry,20,1,Y,N,N,N,N,N,N,N,N,N,N
mulch,8,1,Y,N,N,N,N,N,N,N,N,N,N
mule,158,1,Y,N,N,N,N,N,N,N,N,N,N
muleteer,3,1,Y,N,N,N,N,N,N,N,N,N,N
mulishness,0,1,N,Y,N,N,N,N,N,N,N,N,N
mull,3,1,Y,N,N,N,N,N,N,N,N,N,N
mullah,13,1,Y,N,N,N,N,N,N,N,N,N,N
mullein,16,1,Y,N,N,N,N,N,N,N,N,N,N
mullet,18,1,Y,N,N,N,N,N,N,N,N,N,N
mulligatawny,3,1,N,Y,N,N,N,N,N,N,N,N,N
mullion,4,1,Y,N,N,N,N,N,N,N,N,N,N
multifariousness,0,1,N,Y,N,N,N,N,N,N,N,N,N
multimillionaire,4,1,Y,N,N,N,N,N,N,N,N,N,N
multiple,20,1,Y,N,N,N,N,N,N,N,N,N,N
multiple sclerosis,0,1,N,Y,N,N,N,N,N,N,N,N,N
multiple store,0,1,Y,N,N,N,N,N,N,N,N,N,N
multiplication,67,1,Y,Y,Y,N,N,N,N,N,N,N,N
multiplication table,0,1,Y,N,N,N,N,N,N,N,N,N,N
multiplicity,31,1,N,Y,Y,N,N,N,N,N,N,N,N
multitude,132,1,Y,Y,Y,N,N,N,N,N,N,N,N
multitudinousness,0,1,N,Y,N,N,N,N,N,N,N,N,N
multum in parvo,0,1,N,Y,N,N,N,N,N,N,N,N,N
mum,277,1,Y,N,Y,N,N,N,N,N,Y,N,N
mumbo-jumbo,5,1,N,Y,N,N,N,N,N,N,N,N,N
mummer,3,1,Y,N,N,N,N,N,N,N,N,N,N
mummery,1,1,Y,Y,N,N,N,N,N,N,N,N,N
mummification,0,1,Y,Y,N,N,N,N,N,N,N,N,N
mumming,1,1,N,N,N,N,N,N,N,N,N,N,Y
mummy,201,1,Y,N,Y,N,N,N,N,N,Y,N,N
mummy,24,1,Y,N,Y,N,N,N,N,N,N,N,N
mumps,35,1,N,Y,N,Y,N,N,N,N,N,N,N
municipality,8,1,Y,N,N,N,Y,N,N,N,N,N,N
munificence,2,1,N,Y,Y,N,N,N,N,N,N,N,N
muniment,1,1,N,N,N,N,N,N,Y,N,N,N,N
muniments,0,1,N,N,N,Y,N,N,N,N,N,N,N
munition,3,1,N,N,N,N,N,N,Y,N,N,N,N
munitions,50,1,N,N,N,Y,N,N,N,N,N,N,N
mural,19,1,Y,N,N,N,N,N,N,N,N,N,N
murder,922,1,Y,Y,N,N,N,N,N,N,N,N,N
murderer,233,1,Y,N,N,N,N,N,N,N,Y,N,N
murderess,14,1,Y,N,N,N,N,N,N,N,Y,N,N
murderousness,0,1,N,Y,N,N,N,N,N,N,N,N,N
murk,8,1,N,Y,N,N,N,N,N,N,N,N,N
murmur,125,1,Y,Y,Y,N,N,N,N,N,N,N,N
murmuring,13,1,Y,Y,N,N,N,N,N,N,N,N,N
murphy,34,1,Y,N,N,N,N,N,N,N,N,N,N
murrain,3,1,N,Y,N,N,N,N,N,N,N,N,N
muscatel,0,1,N,Y,N,N,N,N,N,N,N,N,N
muscle,1581,1,Y,Y,N,N,N,N,N,N,N,N,N
muscleman,1,1,Y,N,N,N,N,N,N,N,N,N,N
Muscovite,6,1,Y,N,N,N,N,N,N,N,N,N,N
Muscovy,3,1,N,N,N,N,N,N,N,N,N,Y,N
muscular dystrophy,0,1,N,Y,N,N,N,N,N,N,N,N,N
muse,33,1,Y,N,N,N,N,N,N,N,N,N,N
museum,648,1,Y,N,N,N,N,N,N,N,N,N,N
museum piece,0,1,Y,N,N,N,N,N,N,N,N,N,N
mush,24,1,Y,Y,N,N,N,N,N,N,Y,N,N
mushroom,227,1,Y,N,N,N,N,N,N,N,N,N,N
music,2391,1,N,Y,N,N,N,N,N,N,N,N,N
musical,82,1,Y,N,N,N,N,N,N,N,N,N,N
musical-box,0,1,Y,N,N,N,N,N,N,N,N,N,N
musical chairs,0,1,N,Y,N,N,N,N,N,N,N,N,N
musical comedy,0,1,Y,N,N,N,N,N,N,N,N,N,N
music-box,0,1,Y,N,N,N,N,N,N,N,N,N,N
music-hall,17,1,Y,Y,N,N,N,N,N,N,N,N,N
musician,263,1,Y,N,N,N,N,N,N,N,N,N,N
musicianship,6,1,N,Y,N,N,N,N,N,N,N,N,N
music-stand,3,1,Y,N,N,N,N,N,N,N,N,N,N
music-stool,0,1,Y,N,N,N,N,N,N,N,N,N,N
musk,28,1,N,Y,N,N,N,N,N,N,N,N,N
musk-deer,0,1,Y,N,N,N,N,N,N,N,N,N,N
musket,21,1,Y,N,N,N,N,N,N,N,N,N,N
musketeer,1,1,Y,N,N,N,N,N,N,N,N,N,N
musketry,3,1,N,Y,N,N,N,N,N,N,N,N,N
muskiness,0,1,N,Y,N,N,N,N,N,N,N,N,N
muskmelon,1,1,Y,N,N,N,N,N,N,N,N,N,N
muskrat,3,1,Y,Y,N,N,N,N,N,N,N,N,N
musk-rose,0,1,Y,N,N,N,N,N,N,N,N,N,N
Muslim,103,1,Y,N,N,N,N,N,N,N,N,N,N
muslin,79,1,N,Y,N,N,N,N,N,N,N,N,N
musquash,1,1,N,Y,N,N,N,N,N,N,N,N,N
muss,0,1,Y,Y,N,N,N,N,N,N,N,N,N
mussel,60,1,Y,N,N,N,N,N,N,N,N,N,N
must,0,1,N,Y,Y,N,N,N,N,N,N,N,N
mustachio,2,1,Y,N,N,N,N,N,N,N,N,N,N
mustang,12,1,Y,N,N,N,N,N,N,N,N,N,N
mustard,84,1,N,Y,N,N,N,N,N,N,N,N,N
